,smiles,value,log_value,init_value
2524,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,11.0,2.3978952727983707,0.3663211167653308
2525,O=C1COc2c(cc(Cl)cc2[N+](=O)[O-])N1Cc1nnc(-c2ccc(Cl)cn2)n1CCC(F)(F)F,13.17,2.5779415157551897,0.3785493880396327
2526,COC[C@H](O)Cn1c(=O)cnn(-c2ccc(Cl)c(C(=O)NCC3(O)CCCCCC3)c2)c1=O,11.0,2.3978952727983707,0.3663211167653308
2527,O=C(c1ccc(-c2cccc3c2CCNC3)s1)N1N=C(c2cccnc2)CC1c1c(O)cccc1F,11.67,2.4570214462984645,0.3703368122727565
2528,O=C(c1ccc(-c2ccc3c(c2)CNC3)s1)N1N=C(c2cccnc2)CC1c1c(O)cccc1F,15.0,2.70805020110221,0.3873860306345449
2529,CN(C(=O)C1(c2ccc(F)cc2)CCC1)[C@@H]1CCc2c(CC(=O)O)c3ccccc3n2C1,12.0,2.4849066497880004,0.3722307025712114
2530,Cc1nsc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCOCC2)CC1,18.0,2.8903717578961645,0.3997688352908145
2531,Cc1cc(F)ccc1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCOCC2)CC1,15.0,2.70805020110221,0.3873860306345449
2532,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncnc1,15.67,2.751748056367929,0.3903538750034083
2533,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(C(N)=O)n1C,15.33,2.7298116928837226,0.3888640144039794
2534,CNC(=O)c1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(C(F)(F)F)c3)ccc2C)n1C,17.17,2.843163674909384,0.3965625854095516
2535,CCCc1cnc(N)c(CNC(=S)Nc2ccc3[nH]c(=O)oc3c2)n1,12.9,2.5572273113676265,0.377142533298747
2536,COc1c2c(c(O)c3cc(CN4CCC4)ccc13)C(=O)C1=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3C[C@@H]1C2,10.2,2.322387720290225,0.3611928407171066
2537,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(c(F)c5ccc(CN6CC(F)C6)cc5c4O)C[C@H]3C[C@@H]12,16.1,2.778819271990417,0.3921924813687536
2538,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(c(F)c5ccc(CNC(C)(C)C)cc5c4O)C[C@H]3C[C@@H]12,17.7,2.873564639579784,0.398627339646491
2539,O=C(O)/C=C/c1ccc(OC(=O)C2(NC(=O)c3ccc4c(C5CCCCC5)c5n(c4c3)CCOc3ccccc3-5)CCCC2)cc1,17.0,2.833213344056216,0.3958867848877336
2540,O=C(O)/C=C/c1ccc(OC(=O)C2(NC(=O)c3ccc4c(C5CCCCC5)c5n(c4c3)CC(=O)Nc3ccccc3-5)CCCC2)cc1,13.0,2.5649493574615367,0.3776669945309186
2541,O=C(NCc1ccncn1)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1,17.0,2.833213344056216,0.3958867848877336
2542,Cc1cc(OCc2ccc(F)cc2F)c(Cl)c(=O)n1-c1c(F)cccc1F,12.8,2.5494451709255714,0.376613990615171
2543,COc1ncc(C(=O)NC2(C(=O)N[C@H](C)c3ccc(-n4nc(Cl)c5ccccc54)cc3F)CC2)s1,12.7,2.5416019934645457,0.3760813024564466
2544,CCc1nc2c(C)cc(CC(C)C)nc2n1[C@H]1CCc2cc(-c3ccccc3-c3nnn[nH]3)ccc21,14.0,2.6390573296152584,0.3827002147314726
2545,C/C(=N\O)c1nc([C@@H](O)[C@H](O)[C@H](O)CO)c[nH]1.Cl,10.2,2.322387720290225,0.3611928407171066
2546,O=C1NC2(CC2)Cc2[nH]c3c(c21)CCc1cnc(-c2ccc(F)nc2)cc1-3,12.0,2.4849066497880004,0.3722307025712114
2547,Cc1cc2c(cc1Cl)C1(CCN(C(=O)[C@@H]3CN(C(C)(C)C)C[C@H]3c3ccc(F)cc3F)CC1)C[C@@H]2C(C)(C)C(=O)N(C)C,17.2,2.8449093838194077,0.3966811494060403
2548,COCCCN(C)S(=O)(=O)Nc1ccc2ccc3ncc(-c4cnn(C)c4)cc3c(=O)c2c1,10.7,2.3702437414678603,0.3644430968705172
2549,CN([C@H]1CCOC1)S(=O)(=O)Nc1ccc2ccc3ncc(-c4cnn(C)c4)cc3c(=O)c2c1,11.0,2.3978952727983707,0.3663211167653308
2550,Cc1c(Cl)cccc1CNC(=O)Cc1cnc(-c2ccc(F)cc2F)n1C,18.0,9.798127036878302,0.8689255589228828
2551,Cc1nc(-c2ccc(F)cc2F)n(C)c1CC(=O)NCc1cccc(Cl)c1C,16.0,9.680344001221918,0.860926042310573
2552,CCn1c(-c2ccc(F)cc2F)nc(C)c1CC(=O)NCc1ccc(F)cc1Cl,13.0,9.472704636443671,0.8468237181629868
2553,CCn1c(-c2ccccc2)nc(C)c1CC(=O)NCc1ccc(F)cc1Cl,13.0,9.472704636443671,0.8468237181629868
